Você trabalha com desenvolvimento de software?;Com que frequência utiliza programação Orientado a objetos?;Você já tinha utilizado padrões de projeto em algum projeto?;Você já tinha ouvido falar dos princípios SOLID?;Eficiência da prática de ensino;Suficiência das explicações;Complexidade da primeira atividade;O projeto prático ajudou no entendimento dos padrões de projeto?;Auxílio dos princípios SOLID na criação de código;Confiança em aplicar padrões de projeto
Não, nunca;2 - Raramente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;2 - Raramente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);1 (Difíceis);4 (Ajudaram bastante);3 (Moderadamente);3 (Moderadamente confiante)
Não, nunca;3 - Às vezes;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);2 (Pouco confiante)
Sim, atualmente;4 - Frequentemente;Sim, ocasionalmente;Sim, mas não sabia em detalhes;4 (Eficiente);3 (Moderadamente suficientes);3 (Fáceis);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;4 - Frequentemente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);3 (Ajudaram moderadamente);3 (Moderadamente);2 (Pouco confiante)
Sim, no passado;4 - Frequentemente;Sim, ocasionalmente;Não, nunca ouvi falar;3 (Moderadamente eficiente);2 (Pouco suficientes);2 (Moderadas);4 (Ajudaram bastante);3 (Moderadamente);4 (Confiante)
Não, nunca;4 - Frequentemente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);2 (Pouco suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;2 - Raramente;Não, nunca;Não, nunca ouvi falar;3 (Moderadamente eficiente);3 (Moderadamente suficientes);2 (Moderadas);3 (Ajudaram moderadamente);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;2 - Raramente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);3 (Moderadamente);3 (Moderadamente confiante)
Não, nunca;2 - Raramente;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;3 - Às vezes;Sim, ocasionalmente;Sim, mas não sabia em detalhes;4 (Eficiente);4 (Suficientes);3 (Fáceis);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Sim, atualmente;4 - Frequentemente;Não, nunca;Sim, mas não sabia em detalhes;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;3 - Às vezes;Não, nunca;Sim, mas não sabia em detalhes;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Sim, atualmente;2 - Raramente;Não, nunca;Sim, mas não sabia em detalhes;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);4 (Confiante)
Não, nunca;3 - Às vezes;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);3 (Fáceis);3 (Ajudaram moderadamente);3 (Moderadamente);3 (Moderadamente confiante)
Não, nunca;4 - Frequentemente;Sim, ocasionalmente;Sim, mas não sabia em detalhes;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;1 - Nunca;Não, nunca;Sim, mas não sabia em detalhes;3 (Moderadamente eficiente);3 (Moderadamente suficientes);3 (Fáceis);3 (Ajudaram moderadamente);3 (Moderadamente);3 (Moderadamente confiante)
Sim, atualmente;4 - Frequentemente;Sim, ocasionalmente;Sim, mas não sabia em detalhes;3 (Moderadamente eficiente);3 (Moderadamente suficientes);1 (Difíceis);3 (Ajudaram moderadamente);4 (Bastante);2 (Pouco confiante)
Não, nunca;3 - Às vezes;Sim, ocasionalmente;Sim, mas não sabia em detalhes;3 (Moderadamente eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;3 - Às vezes;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;2 - Raramente;Sim, ocasionalmente;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);2 (Moderadas);4 (Ajudaram bastante);3 (Moderadamente);4 (Confiante)
Não, nunca;3 - Às vezes;Sim, ocasionalmente;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);3 (Fáceis);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
Não, nunca;3 - Às vezes;Não, nunca;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderadas);4 (Ajudaram bastante);4 (Bastante);3 (Moderadamente confiante)
