Informe sua matrícula;Você já trabalhou com desenvolvimento de software?;Qual é o seu nível de conhecimento em programação orientada a objetos?;Você já tinha utilizado padrões de projeto em algum projeto?;Você já tinha ouvido falar dos princípios SOLID?;Você achou a metodologia aplicada eficiente para o ensino de padrões de projeto?;As explicações teóricas e os exemplos foram suficientes para entender os padrões de projeto?;Complexidade da primeira atividade;Complexidade da segunda atividade;O projeto final ajudou no entendimento dos padrões de projeto?;Auxílio dos princípios SOLID na criação de código;Confiança em aplicar padrões de projeto
2021023397;Não, nunca;3 - Conhecimento intermediário;Não, nunca utilizei;Não, nunca ouvi falar;2 (Pouco eficiente);1 (Nada suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);3 (Moderadamente);2 (Pouco confiante)
2023041652;Não, nunca;2 - Conhecimento básico;Não, nunca utilizei;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderada);2 (Moderada);3 (Ajudou moderadamente);4 (Bastante);3 (Moderadamente confiante)
2021042504;Sim, mas apenas de forma acadêmica;2 - Conhecimento básico;Não, nunca utilizei;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);3 (Fácil);3 (Fácil);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
2022039702;Sim, mas apenas de forma acadêmica;2 - Conhecimento básico;Sim, apenas em estudos ou exemplos simples;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);2 (Moderada);3 (Fácil);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
20240044446;Não, nunca;2 - Conhecimento básico;Não, nunca utilizei;Já ouvi falar, mas não sei explicar;4 (Eficiente);4 (Suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);4 (Bastante);4 (Confiante)
2021017774;Não, nunca;2 - Conhecimento básico;Não, nunca utilizei;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderada);1 (Difícil);4 (Ajudou bastante);4 (Bastante);2 (Pouco confiante)
2022024290;Não, nunca;2 - Conhecimento básico;Não, nunca utilizei;Não, nunca ouvi falar;3 (Moderadamente eficiente);3 (Moderadamente suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);4 (Bastante);2 (Pouco confiante)
2023034380;Sim, mas apenas de forma acadêmica;2 - Conhecimento básico;Sim, apenas em estudos ou exemplos simples;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderada);3 (Fácil);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
2023081578;Não, nunca;1 - Nenhum conhecimento;Não, nunca utilizei;Não, nunca ouvi falar;4 (Eficiente);3 (Moderadamente suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);4 (Bastante);4 (Confiante)
2023035726;Sim, mas apenas de forma acadêmica;3 - Conhecimento intermediário;Sim, apenas em estudos ou exemplos simples;Já ouvi falar, mas não sei explicar;3 (Moderadamente eficiente);3 (Moderadamente suficientes);3 (Fácil);2 (Moderada);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
2022030037;Sim, mas apenas de forma acadêmica;3 - Conhecimento intermediário;Não, nunca utilizei;Já ouvi falar, mas não sei explicar;4 (Eficiente);4 (Suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
20240063245;Não, nunca;1 - Nenhum conhecimento;Não, nunca utilizei;Não, nunca ouvi falar;3 (Moderadamente eficiente);3 (Moderadamente suficientes);2 (Moderada);2 (Moderada);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
2022029976;Sim, mas apenas de forma acadêmica;2 - Conhecimento básico;Não, nunca utilizei;Já ouvi falar, mas não sei explicar;3 (Moderadamente eficiente);4 (Suficientes);3 (Fácil);2 (Moderada);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
2022043170;Sim, atualmente;2 - Conhecimento básico;Sim, em alguns projetos reais;Não, nunca ouvi falar;4 (Eficiente);4 (Suficientes);3 (Fácil);4 (Muito fácil);4 (Ajudou bastante);4 (Bastante);3 (Moderadamente confiante)
